ds,y
2020-10-17,17.7
2020-10-18,18.74
2020-10-19,18.86
2020-10-20,19.1
2020-10-21,19.35
2020-10-22,19.23
2020-10-23,18.92
2020-10-24,18.74
2020-10-25,18.8
2020-10-26,18.8
2020-10-27,18.31
2020-10-28,18.25
2020-10-29,18.13
2020-10-30,18.37
2020-10-31,18.19
2020-11-01,18.62
2020-11-02,18.49
2020-11-03,18.31
2020-11-04,18.8
2020-11-05,18.31
2020-11-06,18.98
2020-11-07,18.19
2020-11-08,18.49
2020-11-09,19.41
2020-11-10,19.53
2020-11-11,18.62
2020-11-12,19.29
2020-11-13,18.98
2020-11-14,19.04
2020-11-15,19.78
2020-11-16,18.8
2020-11-17,18.37
2020-11-18,18.13
2020-11-19,17.82
2020-11-20,17.7
2020-11-21,18.07
2020-11-22,17.76
2020-11-23,18.25
2020-11-24,18.49
2020-11-25,19.29
2020-11-26,18.25
2020-11-27,17.58
2020-11-28,17.09
2020-11-29,17.58
2020-11-30,17.88
2020-12-01,18.37
2020-12-02,19.04
2020-12-03,18.8
2020-12-04,18.68
2020-12-05,19.35
2020-12-06,18.68
2020-12-07,16.97
2020-12-08,17.52
2020-12-09,18.19
2020-12-10,17.58
2020-12-11,17.33
2020-12-12,17.21
2020-12-13,16.17
2020-12-14,15.5
2020-12-15,16.72
2020-12-16,16.97
2020-12-17,17.09
2020-12-18,17.33
2020-12-19,17.88
2020-12-20,18.43
2020-12-21,18.31
2020-12-22,18.68
2020-12-23,18.31
2020-12-24,18.13
2020-12-25,17.03
2020-12-26,16.6
2020-12-27,18.25
2020-12-28,18.31
2020-12-29,18.62
2020-12-30,17.7
2020-12-31,18.68
2021-01-01,16.97
2021-01-02,17.94
2021-01-03,18.25
2021-01-04,18.43
2021-01-05,17.82
2021-01-06,18.07
2021-01-07,18.01
2021-01-08,18.49
2021-01-09,18.25
2021-01-10,17.21
2021-01-11,18.25
2021-01-12,18.8
2021-01-13,18.43
2021-01-14,17.52
2021-01-15,15.75
2021-01-16,16.97
2021-01-17,17.82
2021-01-18,17.76
2021-01-19,17.46
2021-01-20,18.92
2021-01-21,18.86
2021-01-22,17.64
2021-01-23,16.48
2021-01-24,15.81
2021-01-25,15.62
2021-01-26,14.59
2021-01-27,15.2
2021-01-28,16.11
2021-01-29,17.4
2021-01-30,17.82
2021-01-31,17.03
2021-02-01,17.7
2021-02-02,18.37
2021-02-03,17.4
2021-02-04,16.48
2021-02-05,16.54
2021-02-06,17.27
2021-02-07,17.94
2021-02-08,17.27
2021-02-09,15.38
2021-02-10,14.71
2021-02-11,14.53
2021-02-12,15.69
2021-02-13,16.91
2021-02-14,17.46
2021-02-15,17.15
2021-02-16,16.97
2021-02-17,16.66
2021-02-18,16.3
2021-02-19,17.88
2021-02-20,17.94
2021-02-21,17.52
2021-02-22,18.13
2021-02-23,17.09
2021-02-24,16.97
2021-02-25,17.88
2021-02-26,17.58
2021-02-27,17.21
2021-02-28,15.99
2021-03-01,15.01
2021-03-02,13.67
2021-03-03,14.59
2021-03-04,14.83
2021-03-05,15.75
2021-03-06,17.27
2021-03-07,17.76
2021-03-08,18.01
2021-03-09,16.54
2021-03-10,16.97
2021-03-11,17.09
2021-03-12,16.78
2021-03-13,17.09
2021-03-14,17.76
2021-03-15,16.97
2021-03-16,17.03
2021-03-17,16.85
2021-03-18,17.21
2021-03-19,17.52
2021-03-20,16.17
2021-03-21,16.66
2021-03-22,18.07
2021-03-23,18.07
2021-03-24,18.55
2021-03-25,16.42
2021-03-26,16.36
2021-03-27,16.97
2021-03-28,17.15
2021-03-29,17.64
2021-03-30,17.88
2021-03-31,18.92
2021-04-01,19.84
2021-04-02,19.84
2021-04-03,18.98
